date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:19:28	115/115	---MCZ	200	added ('OK')	text/plain	date:Sat,%2022%20Aug%202020%2018:19:28%20GMT	https://kits.pixel-show.com/robots.txt		(from )
03:19:28	109000/109000	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202020%2018:19:29%20GMT	https://kits.pixel-show.com/careerster/template-kit/home-1/	E:/Portfolio_V1/kits.pixel-show.com/careerster/template-kit/home-1/index.html	(from )
03:19:29	53923/53923	---MCZ	200	added ('OK')	text/css	etag:W/%2256c2034-d2a3-5ad39097a4e08%22	https://kits.pixel-show.com/careerster/wp-includes/css/dist/block-library/style.min.css?ver=5.5	E:/Portfolio_V1/kits.pixel-show.com/careerster/wp-includes/css/dist/block-library/style.min5156.css	(from https://kits.pixel-show.com/careerster/template-kit/home-1/)
03:19:29	1920/1920	---MCZ	200	added ('OK')	text/css	etag:W/%2256c02b4-780-5ac5e84c64fb7%22	https://kits.pixel-show.com/careerster/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.2.1	E:/Portfolio_V1/kits.pixel-show.com/careerster/wp-content/plugins/contact-form-7/includes/css/styles7752.css	(from https://kits.pixel-show.com/careerster/template-kit/home-1/)
03:19:30	1111/1111	---MCZ	200	added ('OK')	text/css	etag:W/%2256c020c-457-5aa790f65300d%22	https://kits.pixel-show.com/careerster/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min.css?ver=1.0.14	E:/Portfolio_V1/kits.pixel-show.com/careerster/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min18c7.css	(from https://kits.pixel-show.com/careerster/template-kit/home-1/)
03:19:31	776/776	---MCZ	200	added ('OK')	text/css	etag:W/%2256c0396-308-5ac5e84e78f6f%22	https://kits.pixel-show.com/careerster/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.5.2	E:/Portfolio_V1/kits.pixel-show.com/careerster/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor6bc5.css	(from https://kits.pixel-show.com/careerster/template-kit/home-1/)
03:19:31	16209/16209	---MCZ	200	added ('OK')	text/css	etag:W/%2256c0561-3f51-5aaf7e4617d7c%22	https://kits.pixel-show.com/careerster/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.7.0	E:/Portfolio_V1/kits.pixel-show.com/careerster/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min87e8.css	(from https://kits.pixel-show.com/careerster/template-kit/home-1/)
03:19:31	18468/18468	---MCZ	200	added ('OK')	text/css	etag:W/%2256c0540-4824-5aaf7e461660c%22	https://kits.pixel-show.com/careerster/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.9.14	E:/Portfolio_V1/kits.pixel-show.com/careerster/wp-content/plugins/elementor/assets/lib/animations/animations.min7c53.css	(from https://kits.pixel-show.com/careerster/template-kit/home-1/)
03:19:32	108733/108733	---MCZ	200	added ('OK')	text/css	etag:W/%2256c0533-1a8bd-5aaf7e4615e3c%22	https://kits.pixel-show.com/careerster/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.9.14	E:/Portfolio_V1/kits.pixel-show.com/careerster/wp-content/plugins/elementor/assets/css/frontend.min7c53.css	(from https://kits.pixel-show.com/careerster/template-kit/home-1/)
03:19:33	198636/198636	---MCZ	200	added ('OK')	text/css	etag:W/%2256c2a96-307ec-59fdc0dc8c697%22	https://kits.pixel-show.com/careerster/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=2.8.3	E:/Portfolio_V1/kits.pixel-show.com/careerster/wp-content/plugins/elementor-pro/assets/css/frontend.minf7ff.css	(from https://kits.pixel-show.com/careerster/template-kit/home-1/)
03:19:33	2273/2273	---MCZ	200	added ('OK')	text/css	etag:W/%2256c01b7-8e1-5aaf7e5eb49fc%22	https://kits.pixel-show.com/careerster/wp-content/uploads/sites/4/elementor/css/post-30.css?ver=1595356574	E:/Portfolio_V1/kits.pixel-show.com/careerster/wp-content/uploads/sites/4/elementor/css/post-30b0e4.css	(from https://kits.pixel-show.com/careerster/template-kit/home-1/)
03:19:34	103112/103112	---MCZ	200	added ('OK')	text/css	etag:W/%2256c01ba-192c8-5aaf7e65a9244%22	https://kits.pixel-show.com/careerster/wp-content/uploads/sites/4/elementor/css/post-228.css?ver=1595356581	E:/Portfolio_V1/kits.pixel-show.com/careerster/wp-content/uploads/sites/4/elementor/css/post-228d2c7.css	(from https://kits.pixel-show.com/careerster/template-kit/home-1/)
03:19:35	74372/74372	---MCZ	200	added ('OK')	text/css	etag:W/%2256c0efd-12284-5ac5e84e7aac7%22	https://kits.pixel-show.com/careerster/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.5.2	E:/Portfolio_V1/kits.pixel-show.com/careerster/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend6bc5.css	(from https://kits.pixel-show.com/careerster/template-kit/home-1/)
